KOTA/KABUPATEN;KECAMATAN;REG;ESTIMASI REG;OKE;ESTIMASI OKE;YES;ESTIMASI YES;ORIGIN
LombokTimur;Aikmel;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Sumbawa;Alas;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Sumbawa;AlasBarat;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Bima;Ambalawi;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Mataram;Ampenan;33000;2 - 3 Hari;29000;4 - 5 Hari;55000;-;YOGYAKARTA
Bima;Asakota;59000;6 - 7 Hari;51000;5 - 7 Hari;-;-;YOGYAKARTA
LombokTengah;Batukliang;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokTengah;BatukliangUtara;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Sumbawa;BatuLanteh;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
LombokBarat;BatuLayar;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokBarat;Bayan;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Bima;Belo;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Bima;Bima;59000;6 - 7 Hari;51000;5 - 7 Hari;-;-;YOGYAKARTA
Bima;Bolo;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
SumbawaBarat;BrangRea;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Mataram;Cakranegara;33000;2 - 3 Hari;29000;4 - 5 Hari;55000;-;YOGYAKARTA
Dompu;Dompu;59000;6 - 7 Hari;51000;5 - 7 Hari;-;-;YOGYAKARTA
Bima;Donggo;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Sumbawa;Empang;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokBarat;Gangga;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
LombokBarat;Gerung;59000;6 - 7 Hari;51000;5 - 7 Hari;-;-;YOGYAKARTA
LombokBarat;GunungSari;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Dompu;Hu'u;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
LombokTengah;Janapria;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
SumbawaBarat;Jereweh;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokTimur;Jerowaru;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokTengah;Jonggat;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokBarat;Kayangan;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
LombokBarat;Kediri;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Dompu;Kempo;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
LombokTimur;Keruak;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Dompu;Kilo;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
LombokTengah;Kopang;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokBarat;Kuripan;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Sumbawa;Labangka;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
LombokBarat;LabuApi;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Sumbawa;LabuhanBadas;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokTimur;LabuhanHaji;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Bima;Lambu;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Bima;Langgudu;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Sumbawa;Lape-Lopok;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokBarat;Lembar;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokBarat;Lingsar;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Sumbawa;Lunyuk;111000;+ 10 Hari;-;-;-;-;YOGYAKARTA
Bima;MadaPangga;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
Dompu;Manggelewa;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
LombokTimur;MasBagik;74000;7 - 8 Hari;64000;7 - 10 Hari;-;-;YOGYAKARTA
